day,date,distance,time,hr,rate,pace
Tuesday,1/1/2019,10253,45,158,19,131.7
Tuesday,1/1/2019,10227,45,158,19,132.0
Wednesday,1/2/2019,10274,45,159,19,131.4
Thursday,1/3/2019,10274,45,159,19,131.4
Saturday,1/5/2019,10119,45,154,19,133.4
Sunday,1/6/2019,10182,45,153,19,132.6
Monday,1/7/2019,10295,45,153,19,131.1
Tuesday,1/8/2019,10298,45,153,19,131.1
Wednesday,1/9/2019,10414,45,153,19,129.6
Thursday,1/10/2019,10313,45,155,19,130.9
Saturday,1/12/2019,10430,45,153,20,129.4
Monday,1/14/2019,10436,45,153,19,129.4
Tuesday,1/15/2019,10589,45,150,18,127.5
Wednesday,1/16/2019,10644,45,156,18,126.8
Wednesday,1/23/2019,10661,45,148,20,126.6
Thursday,1/24/2019,10731,45,152,20,125.8
Friday,1/25/2019,10702,45,153,20,126.1
Sunday,1/27/2019,10779,45,152,20,125.2
Monday,1/28/2019,10814,45,154,20,124.8
Wednesday,1/30/2019,10828,45,153,20,124.7
Thursday,1/31/2019,10853,45,157,20,124.4
Friday,2/1/2019,10828,45,155,20,124.7
Sunday,2/3/2019,10856,45,154,20,124.4
Tuesday,2/5/2019,10888,45,154,20,124.0
Thursday,2/7/2019,10909,45,,20,123.8
Tuesday,2/12/2019,10854,45,162,20,124.4
Thursday,2/14/2019,10798,45,156,19,125.0
Friday,2/15/2019,10814,45,155,19,124.8
Monday,3/25/2019,10910,45,156,18,123.7
Tuesday,3/26/2019,10891,45,157.07,18,124.0
Wednesday,3/27/2019,10890,45,158.36,19,124.0
Sunday,4/21/2019,10755,45,162.3,19,125.5
Monday,4/22/2019,10713,45,163.1,19,126.0
Sunday,4/28/2019,14400,60,158,19,125.0
Monday,4/29/2019,10681,45,153.4,19,126.4
Tuesday,4/30/2019,10713,45,154.61,19,126.0
Wednesday,5/1/2019,10711,45,155,19,126.0
Thursday,5/2/2019,10737,45,155,19,125.7
Thursday,5/9/2019,10883,45,,18,124.0
Friday,5/10/2019,10797,45,159,18,125.0
Sunday,5/12/2019,10747,45,158,18,125.6
Tuesday,5/14/2019,10754,45,153,18,125.5
Wednesday,5/15/2019,10798,45,162,18,125.0
Friday,5/17/2019,10781,45,149,18,125.2
Saturday,5/18/2019,10800,45,157,18,125.0
Saturday,5/18/2019,10940,45,151,18,123.4
Sunday,5/19/2019,10879,45,153,18,124.1
Sunday,5/19/2019,10908,45,155,18,123.8
Monday,5/20/2019,10934,45,155,18,123.5
Wednesday,5/22/2019,10955,45,155,18,123.2
Tuesday,5/28/2019,10931,45,158,18,123.5
Wednesday,5/29/2019,10964,45,157,18,123.1
Thursday,5/30/2019,10964,45,154,18,123.1
Friday,5/31/2019,10964,45,157,18,123.1
Sunday,6/2/2019,10987,45,155,18,122.9
Monday,6/3/2019,11057,45,153,18,122.1
Thursday,6/6/2019,11078,45,153,18,121.9